CODGEO_25;LIBGEO_25;pp_vacant_plus_2ans_25
01001;L'Abergement-Clémenciat;s
01002;L'Abergement-de-Varey;s
01004;Ambérieu-en-Bugey;207
01005;Ambérieux-en-Dombes;13
01006;Ambléon;s
01007;Ambronay;53
01008;Ambutrix;s
01009;Andert-et-Condon;s
01010;Anglefort;24
01011;Apremont;s
01012;Aranc;s
01013;Arandas;s
01014;Arbent;47
01015;Arboys en Bugey;s
01016;Arbigny;s
01017;Argis;s
01019;Armix;s
01021;Ars-sur-Formans;s
01022;Artemare;41
01023;Asnières-sur-Saône;s
01024;Attignat;36
01025;Bâgé-Dommartin;44
01026;Bâgé-le-Châtel;12
01027;Balan;s
01028;Baneins;s
01029;Beaupont;19
01030;Beauregard;13
01031;Bellignat;64
01032;Béligneux;24
01033;Valserhône;491
01034;Belley;270
01035;Belleydoux;s
01036;Valromey-sur-Séran;57
01037;Bénonces;s
01038;Bény;s
01040;Béréziat;s
01041;Bettant;s
01042;Bey;s
01043;Beynost;26
01044;Billiat;s
01045;Birieux;s
01046;Biziat;s
01047;Blyes;s
01049;La Boisse;29
01050;Boissey;s
01051;Bolozon;s
01052;Bouligneux;s
01053;Bourg-en-Bresse;829
01054;Bourg-Saint-Christophe;13
01056;Boyeux-Saint-Jérôme;s
01057;Boz;s
01058;Brégnier-Cordon;s
01060;Brénod;s
01061;Brens;s
01062;Bressolles;s
01063;Brion;s
01064;Briord;23
01065;Buellas;15
01066;La Burbanche;s
01067;Ceignes;s
01068;Cerdon;54
01069;Certines;s
01071;Cessy;72
01072;Ceyzériat;50
01073;Ceyzérieu;38
01074;Chalamont;49
01075;Chaleins;s
01076;Chaley;s
01077;Challes-la-Montagne;s
01078;Challex;28
01079;Champagne-en-Valromey;s
01080;Champdor-Corcelles;20
01081;Champfromier;s
01082;Chanay;s
01083;Chaneins;s
01084;Chanoz-Châtenay;s
01085;La Chapelle-du-Châtelard;s
01087;Charix;s
01088;Charnoz-sur-Ain;s
01089;Château-Gaillard;13
01090;Châtenay;s
01092;Châtillon-la-Palud;30
01093;Châtillon-sur-Chalaronne;78
01094;Chavannes-sur-Reyssouze;23
01095;Nivigne et Suran;37
01096;Chaveyriat;s
01098;Chazey-Bons;29
01099;Chazey-sur-Ain;22
01100;Cheignieu-la-Balme;s
01101;Chevillard;s
01102;Chevroux;s
01103;Chevry;24
